0 [2.00e+00]
1000 [1.96e+00]
2000 [1.71e+00]
3000 [1.46e+00]
4000 [1.21e+00]
5000 [1.07e+00]
6000 [1.02e+00]
7000 [1.01e+00]
8000 [1.01e+00]
9000 [1.00e+00]
10000 [1.00e+00]
11000 [1.00e+00]
12000 [9.99e-01]
13000 [9.98e-01]
14000 [9.98e-01]
15000 [9.98e-01]
16000 [9.98e-01]
17000 [9.98e-01]
18000 [9.98e-01]
19000 [9.98e-01]
20000 [9.97e-01]
21000 [9.98e-01]
22000 [9.98e-01]
23000 [9.98e-01]
24000 [9.98e-01]
25000 [9.98e-01]
26000 [9.98e-01]
27000 [9.98e-01]
28000 [9.98e-01]
29000 [9.98e-01]
30000 [9.98e-01]
31000 [9.98e-01]
32000 [9.98e-01]
33000 [9.98e-01]
34000 [9.98e-01]
35000 [9.98e-01]
36000 [9.98e-01]
37000 [9.98e-01]
38000 [9.98e-01]
39000 [9.98e-01]
40000 [9.98e-01]
41000 [9.98e-01]
42000 [9.98e-01]
43000 [9.98e-01]
44000 [9.98e-01]
45000 [9.98e-01]
46000 [9.98e-01]
47000 [9.98e-01]
48000 [9.98e-01]
49000 [9.98e-01]
50000 [9.98e-01]
