# step, loss_train, loss_test, metrics_test
2.900000000000000000e+04 1.466981630073860288e-04 1.543671678518876433e-04 2.742071822285652161e-02
3.000000000000000000e+04 5.340393981896340847e-04 5.472684861160814762e-04 2.754123508930206299e-02
3.100000000000000000e+04 5.117228647577576339e-05 5.855267954757437110e-05 2.755778655409812927e-02
3.200000000000000000e+04 2.724376041442155838e-03 2.769156591966748238e-03 1.780937984585762024e-02
3.300000000000000000e+04 1.245557796210050583e-03 1.261664554476737976e-03 2.531926706433296204e-02
3.400000000000000000e+04 1.588608429301530123e-04 1.700545253697782755e-04 2.531820163130760193e-02
3.500000000000000000e+04 3.223703242838382721e-04 3.381264396011829376e-04 2.345264703035354614e-02
3.600000000000000000e+04 1.230621128343045712e-03 1.258763950318098068e-03 2.220194227993488312e-02
3.700000000000000000e+04 2.610424999147653580e-03 2.658103127032518387e-03 4.613010585308074951e-02
3.800000000000000000e+04 1.069710706360638142e-04 1.158558443421497941e-04 3.669789806008338928e-02
3.900000000000000000e+04 1.108001015381887555e-04 1.200609112856909633e-04 3.653071448206901550e-02
4.000000000000000000e+04 6.158329779282212257e-04 6.369693437591195107e-04 3.309411182999610901e-02
4.100000000000000000e+04 1.145941205322742462e-04 1.239503762917593122e-04 4.043824225664138794e-02
4.200000000000000000e+04 4.613116907421499491e-04 4.795700078830122948e-04 3.539963439106941223e-02
4.300000000000000000e+04 8.762057404965162277e-05 9.508884249953553081e-05 4.494236782193183899e-02
4.400000000000000000e+04 2.049475908279418945e-03 2.074365504086017609e-03 5.959045141935348511e-02
4.500000000000000000e+04 7.979014480952173471e-05 8.916569640859961510e-05 4.637913405895233154e-02
4.600000000000000000e+04 2.047515707090497017e-03 2.103168284520506859e-03 4.909460246562957764e-02
4.700000000000000000e+04 1.560544333187863231e-04 1.633477077120915055e-04 5.379217490553855896e-02
4.800000000000000000e+04 1.721044100122526288e-04 1.834375580074265599e-04 5.702639371156692505e-02
4.900000000000000000e+04 2.783615855150856078e-05 3.480707891867496073e-05 5.672048404812812805e-02
5.000000000000000000e+04 1.915958127938210964e-03 1.964983530342578888e-03 5.879032984375953674e-02
5.100000000000000000e+04 3.321091644465923309e-04 3.473007818683981895e-04 5.933779105544090271e-02
5.200000000000000000e+04 6.046946509741246700e-05 6.982962077017873526e-05 6.149988621473312378e-02
5.300000000000000000e+04 7.679937698412686586e-05 8.585822797613218427e-05 6.450202316045761108e-02
