# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.044535173103213310e-03 1.134653240442276001e-01 6.088788509368896484e-01 4.610633373260498047e+00 3.489617630839347839e-02 4.321927577257156372e-02 9.370390325784683228e-02 3.060078859329223633e+00 2.913687145337462425e-03 1.088293716311454773e-01 6.088788509368896484e-01 4.610633373260498047e+00 3.489617630839347839e-02 4.321927577257156372e-02 9.370390325784683228e-02 3.060078859329223633e+00
1.000000000000000000e+02 1.562255783937871456e-03 1.602129894308745861e-03 1.139996349811553955e-01 1.325168758630752563e-01 2.108495868742465973e-02 1.786661334335803986e-02 5.557093769311904907e-02 5.741254240274429321e-02 1.526638981886208057e-03 1.576625392772257328e-03 1.139996349811553955e-01 1.325168758630752563e-01 2.108495868742465973e-02 1.786661334335803986e-02 5.557093769311904907e-02 5.741254240274429321e-02
2.000000000000000000e+02 3.275924827903509140e-03 2.445609774440526962e-03 4.819762334227561951e-02 5.518897622823715210e-02 2.407873049378395081e-02 2.424357458949089050e-02 5.568679422140121460e-02 5.314421653747558594e-02 3.045764751732349396e-03 2.270498313009738922e-03 4.819762334227561951e-02 5.518897622823715210e-02 2.407873049378395081e-02 2.424357458949089050e-02 5.568679422140121460e-02 5.314421653747558594e-02
3.000000000000000000e+02 3.650348866358399391e-03 3.317031078040599823e-03 4.096324369311332703e-02 4.420902952551841736e-02 1.737755909562110901e-02 1.841734349727630615e-02 4.773888736963272095e-02 4.703328758478164673e-02 3.363633761182427406e-03 3.036290640011429787e-03 4.096324369311332703e-02 4.420902952551841736e-02 1.737755909562110901e-02 1.841734349727630615e-02 4.773888736963272095e-02 4.703328758478164673e-02
4.000000000000000000e+02 3.113258164376020432e-03 3.321419470012187958e-03 2.876563742756843567e-02 3.143762797117233276e-02 1.322816871106624603e-02 1.343694142997264862e-02 3.406492993235588074e-02 3.520585596561431885e-02 2.826992888003587723e-03 2.992663998156785965e-03 2.876563742756843567e-02 3.143762797117233276e-02 1.322816871106624603e-02 1.343694142997264862e-02 3.406492993235588074e-02 3.520585596561431885e-02
5.000000000000000000e+02 2.137108240276575089e-03 2.483651740476489067e-03 1.481784973293542862e-02 1.733715832233428955e-02 9.500736370682716370e-03 9.571528993546962738e-03 1.669680140912532806e-02 1.972385123372077942e-02 1.900760922580957413e-03 2.196203917264938354e-03 1.481784973293542862e-02 1.733715832233428955e-02 9.500736370682716370e-03 9.571528993546962738e-03 1.669680140912532806e-02 1.972385123372077942e-02
6.000000000000000000e+02 1.198595622554421425e-03 1.565121696330606937e-03 6.086469627916812897e-03 8.385228924453258514e-03 8.053633384406566620e-03 7.410133257508277893e-03 5.457742139697074890e-03 8.106216788291931152e-03 1.035919762216508389e-03 1.354728359729051590e-03 6.086469627916812897e-03 8.385228924453258514e-03 8.053633384406566620e-03 7.410133257508277893e-03 5.457742139697074890e-03 8.106216788291931152e-03
7.000000000000000000e+02 8.005249546840786934e-04 1.137863262556493282e-03 3.608833998441696167e-03 5.094524007290601730e-03 7.011049892753362656e-03 6.265135016292333603e-03 2.719554817304015160e-03 3.925759810954332352e-03 6.788448081351816654e-04 9.709058213047683239e-04 3.608833998441696167e-03 5.094524007290601730e-03 7.011049892753362656e-03 6.265135016292333603e-03 2.719554817304015160e-03 3.925759810954332352e-03
8.000000000000000000e+02 6.698573124594986439e-04 9.176013991236686707e-04 2.759680384770035744e-03 3.649900667369365692e-03 5.529491696506738663e-03 5.304287187755107880e-03 1.796719850972294807e-03 2.495866734534502029e-03 5.627715145237743855e-04 7.748640491627156734e-04 2.759680384770035744e-03 3.649900667369365692e-03 5.529491696506738663e-03 5.304287187755107880e-03 1.796719850972294807e-03 2.495866734534502029e-03
9.000000000000000000e+02 6.077230791561305523e-04 7.842591730877757072e-04 2.269759541377425194e-03 2.801591530442237854e-03 4.352050833404064178e-03 4.507786594331264496e-03 1.280882977880537510e-03 1.775718526914715767e-03 5.073627689853310585e-04 6.561808404512703419e-04 2.269759541377425194e-03 2.801591530442237854e-03 4.352050833404064178e-03 4.507786594331264496e-03 1.280882977880537510e-03 1.775718526914715767e-03
